City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
crossville,1,US,1554150015,25,35.95,-85.03,12.78,3.6
verkhniy baskunchak,76,KZ,1554150259,64,48.23,46.72,4.31,3.41
mahebourg,20,MU,1554149942,88,-20.41,57.7,23.89,2.6
coihaique,75,CL,1554145200,82,-45.58,-72.07,13,7.7
manjacaze,8,MZ,1554150260,69,-24.71,33.88,24.86,5.93
grindavik,40,IS,1554150116,100,63.84,-22.43,1.11,7.7
mitsamiouli,20,KM,1554148800,78,-11.38,43.28,27,2.1
qaqortoq,92,GL,1554148200,49,60.72,-46.03,-5,1
mar del plata,64,AR,1554150236,52,-46.43,-67.52,20.81,10.91
coleraine,75,GB,1554150008,87,55.13,-6.67,8.33,7.7
sukhobuzimskoye,0,RU,1554147000,79,56.5,93.28,-3,1
sioux lookout,90,CA,1554148500,50,50.1,-91.92,1,6.7
dakar,0,SN,1554147000,60,14.69,-17.45,22,8.2
tuktoyaktuk,20,CA,1554145200,77,69.44,-133.03,-14,5.1
kavieng,76,PG,1554150136,100,-2.57,150.8,28.71,4.73
sao joao da barra,75,BR,1554145200,65,-21.64,-41.05,26,6.2
sabha,0,LY,1554150055,54,27.03,14.43,19.01,1.71
hilo,1,US,1554149968,61,19.71,-155.08,26.11,2.26
didwana,0,IN,1554150263,38,27.4,74.58,19.16,1.06
port alfred,92,ZA,1554149972,83,-33.59,26.89,16.67,1.79
clyde river,90,CA,1554148800,84,70.47,-68.59,-18,4.1
atar,0,MR,1554150264,34,20.52,-13.05,18.46,1.03
namatanai,44,PG,1554150264,100,-3.66,152.44,27.71,4.43
turan,8,RU,1554150265,69,52.15,93.92,-9.15,0.91
san vicente,0,SV,1554150013,55,13.64,-88.78,32,3.6
torbay,75,CA,1554149783,72,47.66,-52.73,15,12.9
novyy svit,92,UA,1554150266,81,47.81,38.02,8.16,4.38
narsaq,92,GL,1554148200,49,60.91,-46.05,-5,1
kruisfontein,48,ZA,1554150175,83,-34,24.73,14.31,3.83
huarmey,44,PE,1554150267,63,-10.07,-78.15,24.61,2.03
labuhan,24,ID,1554150267,97,-2.54,115.51,21.86,0.98
vavoua,56,CI,1554150267,83,7.38,-6.48,25.36,1.68
ancud,90,CL,1554145200,93,-41.87,-73.83,12,8.2
margate,20,AU,1554150254,87,-43.03,147.26,7.22,5.1
saint-philippe,1,CA,1554150250,34,45.36,-73.48,3.33,3.6
port macquarie,75,AU,1554150005,100,-31.43,152.91,17.22,2.6
ribeira grande,40,PT,1554148800,71,38.52,-28.7,14,7.2
ponta do sol,76,BR,1554150269,58,-20.63,-46,25.26,0.48
nagapattinam,0,IN,1554150269,85,10.76,79.84,26.96,4.51
mirpur khas,0,PK,1554150269,36,25.53,69.01,23.86,1.28
kodiak,1,US,1554150124,7,39.95,-94.76,14,7.7
lompoc,75,US,1554150044,50,34.64,-120.46,26.11,4.6
airai,24,TL,1554150031,89,-8.93,125.41,19.41,0.56
alofi,40,NU,1554148800,78,-19.06,-169.92,27,3.6
matagami,8,NG,1554150270,32,9.67,8.4,23.56,2.68
arraial do cabo,0,BR,1554145200,61,-22.97,-42.02,27,1.5
ilhabela,0,BR,1554150060,98,-23.78,-45.36,24.71,5.38
bambous virieux,20,MU,1554149942,88,-20.34,57.76,23.89,2.6
skibbereen,75,IE,1554148800,75,51.55,-9.27,8,3.1
cockburn town,0,TC,1554150145,100,21.46,-71.14,25.76,5.51
council bluffs,1,US,1554150217,25,41.26,-95.86,17.22,7.2
sojat,0,IN,1554150272,36,25.92,73.67,19.41,1.38
kieta,64,PG,1554150272,100,-6.22,155.63,25.36,1.28
xingyi,0,CN,1554150272,75,24.19,102.82,15.06,2.91
ilulissat,20,GL,1554148200,48,69.22,-51.1,-8,10.8
chalon-sur-saone,0,FR,1554149887,66,46.78,4.85,12,0.5
yantal,88,RU,1554150273,73,56.85,105.25,-1.6,3.96
cidreira,0,BR,1554150273,71,-30.17,-50.22,25.21,5.26
bredasdorp,80,ZA,1554150274,95,-34.53,20.04,16.91,4.03
churapcha,20,RU,1554150274,63,62,132.43,-14.45,1.56
hovd,20,NO,1554150065,88,63.83,10.7,3.33,3.6
wangqing,0,CN,1554150275,69,43.31,129.76,-9.8,1.68
flinders,0,AU,1554150245,93,-34.58,150.85,16.11,3.6
ketchikan,1,US,1554144960,53,55.34,-131.65,14,7.2
kharitonovo,0,RU,1554150275,79,61.4,47.5,-4.95,3.86
filadelfia,48,PY,1554150276,74,-22.35,-60.04,29.61,6.33
folldal,24,NO,1554150276,75,62.14,10,-4.95,2.91
nouadhibou,0,MR,1554145200,72,20.93,-17.03,20,6.2
san patricio,88,PY,1554150277,74,-26.98,-56.83,27.76,1.01
rongcheng,24,CN,1554150277,83,37.16,122.42,-1.9,2.13
vardo,1,US,1554150075,28,39.62,-77.74,10,4.1
pemba,20,MZ,1554145200,83,-12.97,40.52,27,3.6
chisec,8,GT,1554150278,41,15.81,-90.29,29.46,1.11
panama city,90,US,1554150100,67,30.16,-85.65,20,2.1
meulaboh,92,ID,1554150278,100,4.14,96.13,25.21,1.93
shakhtinsk,75,KZ,1554147000,93,49.71,72.59,4,2
kahului,20,US,1554150222,65,20.89,-156.47,27,2.6
calama,20,CL,1554145200,25,-22.46,-68.93,23,8.7
coquimbo,75,CL,1554145200,72,-29.95,-71.34,18,4.1
port moresby,20,PG,1554148800,100,-9.47,147.16,23,2.6
kukmor,0,RU,1554150280,74,56.19,50.9,-4.7,1.23
egvekinot,68,RU,1554150281,95,66.32,-179.17,-3.3,1.43
vestmannaeyjar,32,IS,1554150281,97,63.44,-20.27,1.36,8.81
honningsvag,75,NO,1554148200,80,70.98,25.97,-1,6.7
boyolangu,88,ID,1554150282,96,-8.09,111.9,20.86,1.13
sola,75,NO,1554150020,60,58.89,5.65,4,6.7
doembang nangbuat,24,TH,1554149845,88,14.85,100.1,28.89,2.13
tocopilla,0,CL,1554150282,91,-22.09,-70.2,19.56,3.16
souillac,0,FR,1554150035,67,45.6,-0.6,14,0.5
provideniya,24,RU,1554150283,100,64.42,-173.23,-2.1,4.88
fairbanks,1,US,1554150134,69,64.84,-147.72,5.56,3.1
lorengau,88,PG,1554150283,97,-2.02,147.27,28.46,4.86
banda aceh,68,ID,1554150284,99,5.56,95.32,24.06,0.98
sao felix do xingu,68,BR,1554150284,81,-6.64,-51.99,28.31,0.88
yumen,80,CN,1554150030,47,40.29,97.04,5.21,4.08
chokurdakh,0,RU,1554150284,67,70.62,147.9,-18.15,1.93
de-kastri,68,RU,1554150285,90,51.48,140.77,-4.3,4.31
nikolskoye,0,RU,1554150143,69,59.7,30.79,1.67,4
pacific grove,1,US,1554150127,55,36.62,-121.92,23.89,3.6
plouzane,0,FR,1554150125,93,48.38,-4.62,10.56,1.5
tual,56,ID,1554150197,100,-5.67,132.75,26.86,5.26
srednekolymsk,48,RU,1554150286,82,67.46,153.71,-12.35,1.51
kirovskiy,44,RU,1554150286,74,45.09,133.51,-11.45,1.03
new port richey,90,US,1554150118,82,28.24,-82.72,21.11,1.5
poum,20,MK,1554145200,25,41.28,20.71,11,1.5
yakima,1,US,1554150016,39,46.6,-120.51,18.33,6.2
yeppoon,12,AU,1554147000,77,-23.13,150.74,19,3.6
san ramon de la nueva oran,48,AR,1554150288,97,-23.13,-64.33,24.46,3.41
matay,0,EG,1554150288,53,28.42,30.79,9.81,1.28
mandurah,92,AU,1554150103,88,-32.55,115.7,19,5.1
kapit,76,MY,1554150288,95,2.02,112.94,22.51,0.66
katsuura,20,JP,1554145200,69,33.93,134.5,3,1.5
luderitz,0,NA,1554150148,71,-26.65,15.16,16.46,9.11
klaksvik,68,FO,1554148200,93,62.23,-6.59,2,2.1
suclayin,24,PH,1554150289,100,15.76,121.55,25.71,4.86
yellowknife,40,CA,1554150139,57,62.45,-114.38,-6,10.3
pangnirtung,20,CA,1554145200,65,66.15,-65.72,-14,1
richards bay,92,ZA,1554150290,82,-28.77,32.06,20.91,6.08
ginda,0,IN,1554150291,60,30.69,78.49,5.16,1.26
palmer,0,AU,1554150022,87,-34.85,139.16,15.56,2.6
hasaki,75,JP,1554150278,93,35.73,140.83,2,2.1
fort saint james,0,CA,1554150292,50,54.43,-124.25,8.26,1.38
dunedin,0,NZ,1554149918,64,-45.87,170.5,10,7.6
tiksi,8,RU,1554150052,69,71.64,128.87,-15.3,1.13
hithadhoo,92,MV,1554150293,100,-0.6,73.08,28.46,3.06
yichang,92,CN,1554150293,87,30.77,111.32,12.01,1.03
lakselv,75,NO,1554150007,100,70.05,24.96,-0.57,5.1
roma,0,IT,1554150002,62,41.89,12.48,15,1.5
hammerfest,75,NO,1554148200,92,70.66,23.68,0,10.8
kisoro,8,UG,1554150294,86,-1.28,29.69,13.16,1.51
severo-kurilsk,88,RU,1554150216,100,50.68,156.12,-2.05,2.91
voskresenskoye,0,RU,1554150294,80,56.84,45.43,-5.65,1.51
noyabrsk,88,RU,1554150294,94,63.2,75.45,-0.7,6.63
pimentel,64,BR,1554150295,78,-3.7,-45.5,27.41,1.66
svetlogorsk,40,RU,1554147000,55,53.14,59.15,4,5
saldanha,80,PT,1554150295,65,41.42,-6.55,11.71,1.91
tura,0,IN,1554150296,94,25.52,90.21,17.16,2.13
husavik,32,CA,1554150003,53,50.56,-96.99,7.22,2.68
ballina,90,IE,1554150124,93,54.11,-9.15,6,5.7
mponela,80,MW,1554150296,77,-13.53,33.74,20.31,2.68
rocha,20,UY,1554150297,69,-34.48,-54.34,24.31,1.96
talaya,0,RU,1554150031,74,55.79,84.89,-1,5
pearl river,1,US,1554150009,20,32.78,-89.23,17,2.1
burnie,0,AU,1554148838,85,-41.05,145.91,10,2.11
boa vista,40,BR,1554145200,32,2.82,-60.67,36,4.6
fergus falls,75,US,1554149918,64,46.28,-96.08,3,4.6
mashivka,0,UA,1554150299,42,49.44,34.87,5.86,7.63
beringovskiy,92,RU,1554150300,100,63.05,179.32,-0.5,3.98
riyadh,44,SA,1554148800,34,24.63,46.72,18,3.1
trairi,76,BR,1554150300,100,-3.28,-39.27,27.56,1.33
bystrzyca klodzka,0,PL,1554150185,52,50.3,16.64,6.11,0.45
mackay,75,CA,1554148800,39,53.65,-115.58,7,6.7
zambezi,0,ZM,1554150301,56,-13.55,23.12,21.46,2.83
olga,1,US,1554150285,21,34.11,-118.17,30,4.6
sarangani,20,PH,1554150301,100,5.4,125.46,26.16,0.66
jining,0,CN,1554150302,54,35.41,116.58,4.41,4.18
nabire,0,ID,1554150302,93,-3.36,135.5,19.16,0.93
yar-sale,12,RU,1554150302,74,66.83,70.83,-10.3,1.83
berdyaush,92,RU,1554150302,96,55.17,59.15,1.16,2.93
superior,75,US,1554150261,36,47.19,-114.89,13.89,2.6
rancho palos verdes,75,US,1554150088,27,33.75,-118.37,29.44,1.5
tabas,44,IR,1554148800,27,33.6,56.92,25,5.1
garden city,1,US,1554150277,28,40.73,-73.63,9,7.2
ulaangom,0,MN,1554150173,60,49.98,92.07,-11.05,0.83
iqaluit,20,CA,1554149537,71,63.75,-68.52,-14,2.1
la rochelle,88,FR,1554148800,87,46.16,-1.15,12,2.1
henties bay,0,NA,1554148932,84,-22.12,14.28,16.67,2.24
saint-augustin,0,FR,1554150065,58,44.83,-0.61,15,2.6
pozo colorado,32,PY,1554150305,73,-23.49,-58.8,29.71,5.18
chifeng,8,CN,1554150306,53,42.27,118.96,-6.95,1.21
nayudupeta,0,IN,1554150306,91,13.91,79.9,23.31,2.81
grand forks,75,US,1554149736,52,47.91,-97.06,6.11,5.1
kondapalle,8,IN,1554150306,94,16.59,80.52,24.46,1.78
kutum,0,SD,1554150307,26,14.2,24.66,17.86,3.51
leningradskiy,64,RU,1554150193,96,69.38,178.42,-9.05,5.63
iquitos,40,PE,1554145200,319,-3.75,-73.25,6,3.1
enumclaw,1,US,1554150306,45,47.2,-121.99,20,2.6
cayenne,56,GF,1554147000,62,4.94,-52.33,30,6.2
sampit,92,ID,1554150308,97,-2.54,112.95,21.86,2.78
half moon bay,1,US,1554150303,87,37.46,-122.43,19.44,4.1
graaff-reinet,0,ZA,1554150309,70,-32.25,24.53,8.11,2.18
kudymkar,0,RU,1554150309,81,59.01,54.66,-3.55,3.41
talara,40,PE,1554145200,290,-4.58,-81.27,17,4.58
zhigansk,80,RU,1554150310,85,66.77,123.37,-4.65,2.73
lagoa,20,PT,1554150128,82,37.14,-8.45,16.11,6.2
karpathos,0,GR,1554148200,71,35.51,27.21,14,7.7
deep river,75,CA,1554149763,55,46.1,-77.49,3,3.1
samarai,92,PG,1554150311,100,-10.62,150.67,25.21,8.51
narodychi,0,UA,1554150311,56,51.2,29.09,1.16,3.96
lavrentiya,44,RU,1554150117,100,65.58,-170.99,-3.2,0.88
tessalit,0,ML,1554150312,29,20.2,1.01,27.71,5.43
ceuta,0,MX,1554150015,68,23.9,-106.93,26.67,4.02
mataram,56,ID,1554150312,89,-5.32,105.06,23.06,1.01
muros,20,ES,1554150305,62,42.77,-9.06,14.44,1.5
kalengwa,0,ZM,1554150313,64,-13.47,25,19.96,2.51
maragogi,48,BR,1554150313,91,-9.01,-35.22,26.36,2.33
chicama,75,PE,1554145200,73,-7.84,-79.15,23,6.7
talnakh,92,RU,1554150128,93,69.49,88.39,-4,4.28
geraldton,75,CA,1554148800,57,49.72,-86.95,0,7.2
sharan,64,AF,1554150314,74,33.15,68.78,-0.8,1.11
tamandare,12,BR,1554150314,60,-8.28,-70.75,32.56,1.81
shenjiamen,20,CN,1554150315,89,29.96,122.3,11.46,5.86
linden,40,GY,1554145200,52,6.01,-58.31,32,3.48
mount isa,0,AU,1554147000,52,-20.73,139.49,19,3.1
sibolga,64,ID,1554150316,100,1.74,98.78,20.06,0.88
la paz,5,MX,1554149726,17,24.15,-110.32,31.11,5.1
bosaso,0,SO,1554150317,100,11.28,49.18,26.11,3.18
bilibino,12,RU,1554150317,74,68.06,166.44,-6.45,2.51
parati,40,BR,1554145200,45,-20.51,-54.63,31,3.6
vila franca do campo,40,PT,1554150316,62,37.72,-25.43,14,9.8
sabalgarh,0,IN,1554150318,41,26.25,77.41,18.66,2.38
tilichiki,92,RU,1554150319,93,60.47,166.1,0.76,4.06
murchison,76,AU,1554150032,74,-36.62,145.22,10,1.46
tabou,0,CI,1554150319,96,4.42,-7.36,29.41,4.41
itarema,48,BR,1554150320,88,-2.92,-39.92,27.11,2.06
brae,92,GB,1554148200,75,60.4,-1.35,6,10.3
obo,12,CF,1554150320,86,5.39,26.49,22.06,1.28
noumea,0,NC,1554148800,94,-22.28,166.46,20,1.5
austin,1,US,1554150125,56,30.27,-97.74,17.78,2.01
muisne,75,EC,1554145200,83,0.61,-80.02,29,2.6
ojinaga,1,US,1554149799,22,29.56,-104.41,20,2.6
pavlivka,12,UA,1554150322,76,48.13,39.54,3.16,1.58
baoding,0,CN,1554150322,69,38.86,115.49,-0.7,1.13
asyut,0,EG,1554145200,50,27.18,31.19,14,4.1
nara,20,JP,1554150193,75,34.68,135.8,6,5.7
jacqueville,20,CI,1554147000,74,5.21,-4.42,30,4.1
arteaga,90,MX,1554150237,76,25.45,-100.85,20.56,1.78
bathsheba,40,BB,1554145200,65,13.22,-59.52,28,9.3
pangoa,24,PE,1554150324,80,-12.12,-73,24.96,1.16
kudahuvadhoo,76,MV,1554150324,100,2.67,72.89,28.46,1.61
linhares,48,BR,1554150260,96,-19.38,-40.06,21.96,2.16
avera,1,US,1554150323,23,33.19,-82.53,18,5.7
longyearbyen,20,NO,1554148200,60,78.22,15.63,-12,5.1
angul,0,IN,1554150325,87,20.84,85.1,22.01,1.01
bilma,20,NE,1554150326,26,18.69,12.92,22.06,2.93
picui,88,BR,1554150326,68,-6.51,-36.35,26.46,3.83
nioro,0,GM,1554150326,40,13.79,-15.05,30.66,2.33
brunsbuttel,0,DE,1554150312,42,53.9,9.15,7,2.1
westport,20,IE,1554150006,90,53.8,-9.52,5,0.89
tuy hoa,48,VN,1554150327,96,13.08,109.3,23.46,1.38
amga,0,RU,1554150327,73,60.89,131.98,-14.8,1.33
lake city,1,US,1554150251,34,38.03,-107.32,9.44,3.1
sumenep,44,ID,1554150328,100,-7.02,113.87,26.71,2.51
nhulunbuy,90,AU,1554147000,100,-12.18,136.78,25,2.1
tena,75,EC,1554146400,79,-0.99,-77.82,30,2.6
yerbogachen,88,RU,1554150329,96,61.28,108.01,1.71,5.41
nosy varika,68,MG,1554150329,100,-20.58,48.53,23.66,1.01
bonito,12,BR,1554150330,56,-21.13,-56.49,30.81,2.48
hambantota,0,LK,1554150075,100,6.12,81.12,27.11,2.36
venice,1,US,1554150142,73,27.1,-82.45,25.56,2.6
qinnan,80,CN,1554150331,77,33.25,119.91,5.66,2.23
saint-paul,0,FR,1554147000,47,45.22,1.9,11,2.6
saint george,0,GR,1554148200,62,39.45,22.34,11,3.1
teacapan,0,MX,1554150332,43,22.54,-105.74,28.81,1.78
thompson,75,CA,1554148380,55,55.74,-97.86,1,6.2
greytown,92,ZA,1554150332,94,-29.06,30.59,14.36,1.26
seoul,1,KR,1554149400,79,37.57,126.98,3,0.5
butia,0,BR,1554145200,42,-21.88,-47.57,29,1
sitka,0,US,1554148023,48,37.17,-99.65,12.78,1.34
loiza,40,PR,1554150332,69,18.43,-65.88,30,4.1
vaitape,76,PF,1554149807,100,-16.52,-151.75,28.81,2.68
nicoya,0,CR,1554145200,28,10.15,-85.45,35,3.1
qaanaaq,8,GL,1554149698,86,77.48,-69.36,-16.7,3.48
chowchilla,1,US,1554149808,41,37.12,-120.26,25,1.5
kisangani,68,CD,1554149809,89,0.52,25.21,25.51,1.13
erzin,40,TR,1554148200,82,36.95,36.2,13,3.1
taganak,75,PH,1554145200,88,6.08,118.3,25,1.5
guerrero negro,12,MX,1554149809,31,27.97,-114.04,27.26,3.31
tupik,0,RU,1554149810,65,54.43,119.94,-14.15,1.56
montepuez,0,MZ,1554149810,88,-13.13,39,19.66,1.23
menongue,20,AO,1554149810,33,-14.66,17.68,22.16,1.66
matamoros,90,US,1554149502,93,25.87,-97.51,11.67,7.2
show low,1,US,1554149741,11,34.25,-110.03,17.78,1.5
kangaatsiaq,32,GL,1554149811,100,68.31,-53.46,-6.2,3.28
san policarpo,92,PH,1554149811,100,12.18,125.51,24.21,3.96
balad,12,ID,1554149812,100,-6.76,108.42,26.01,2.01
aksarka,0,RU,1554149812,67,66.56,67.8,-10.15,3.36
phan thiet,20,VN,1554149789,100,10.93,108.1,24.86,4.51
yining,44,CN,1554149813,79,29.04,114.56,6.31,1.03
srandakan,92,ID,1554149813,100,-7.94,110.25,22.31,1.26
rome,0,IT,1554149644,62,41.89,12.48,15,1.5
thinadhoo,56,MV,1554149814,100,0.53,72.93,28.56,3.01
bonavista,80,CA,1554149701,83,48.65,-53.11,10.56,2.24
arlit,0,NE,1554149814,30,18.74,7.39,25.46,1.28
kitimat,5,CA,1554145200,40,54.02,-128.69,11,8.7
salalah,40,OM,1554144600,74,17.01,54.1,27,2.6
hagere hiywet,76,ET,1554149816,84,8.98,37.85,13.21,0.83
puerto escondido,5,MX,1554147900,66,15.86,-97.07,30,4.1
razole,0,IN,1554149816,99,16.48,81.84,28.46,5.73
mozarlandia,0,BR,1554149817,67,-14.74,-50.57,29.46,1.46
eureka,90,US,1554149765,93,40.8,-124.16,15.56,2.1
shu,100,KZ,1554149817,76,43.6,73.76,6.46,1.48
fayaoue,0,NC,1554149818,100,-20.65,166.53,26.16,7.11
lubao,75,PH,1554149734,69,14.94,120.6,27,1
praia da vitoria,40,PT,1554149746,67,38.73,-27.07,15,12.51
garcia,0,ES,1554149818,81,41.14,0.65,13.89,1
awka,32,NG,1554145200,63,6.21,7.07,33,4.18
champerico,40,MX,1554144420,40,16.38,-93.6,31,6.2
carmarthen,44,GB,1554149709,87,51.86,-4.31,11.11,5.7
katakwi,0,UG,1554149819,55,1.91,33.96,23.86,4.83
kaili,80,ID,1554149820,95,-3.46,120.21,21.71,0.81
codrington,40,AU,1554149612,93,-28.95,153.24,17,1.93
pochutla,5,MX,1554149789,66,15.74,-96.47,31.67,4.1
alice springs,0,AU,1554147000,37,-23.7,133.88,10,1.5
lancaster,1,US,1554149782,28,40.04,-76.31,8.33,6.2
elblag,0,PL,1554149736,69,54.15,19.41,4.44,3.1
kulhudhuffushi,64,MV,1554149822,100,6.62,73.07,27.86,1.16
nouakchott,0,MR,1554147000,49,18.08,-15.98,23,6.2
caravelas,12,BR,1554149822,100,-17.73,-39.27,27.21,5.43
sladkovo,12,RU,1554149822,88,55.53,70.34,2.31,8.56
sao filipe,0,CV,1554149690,97,14.9,-24.5,21.56,6.51
jieshi,44,CN,1554149823,100,22.82,115.83,18.16,8.78
gamboma,36,CG,1554149823,81,-1.87,15.88,25.11,1.33
mangaluru,20,IN,1554147000,78,12.87,74.84,28,3.08
elko,1,US,1554149778,34,40.83,-115.76,13.33,2.1
wegrow,0,PL,1554149700,52,52.4,22.02,5.56,3.46
fortuna,75,ES,1554149796,82,38.18,-1.13,15.56,2.6
tuatapere,92,NZ,1554149406,85,-46.13,167.69,9.44,5.11
syedove,44,UA,1554149825,81,47.08,38.16,8.46,4.21
ambilobe,8,MG,1554149826,98,-13.19,49.05,21.66,1.21
peterhead,0,AU,1554149768,87,-34.83,138.5,15.56,2.6
sfantu gheorghe,0,RO,1554149717,38,44.65,26.83,13.89,9.3
warrington,40,GB,1554149591,66,53.39,-2.59,11,3.6
maldonado,75,UY,1554145200,78,-34.91,-54.96,23,2.6
dodoma,20,TZ,1554145200,83,-6.18,35.75,22,5.1
yamethin,0,MM,1554149827,84,20.43,96.14,20.71,1.36
shitanjing,20,CN,1554149717,7,39.23,106.34,9.44,1.21
takab,76,IR,1554149828,94,36.4,47.11,0.46,4.83
concordia,75,AR,1554149812,66,-31.4,-58.02,30,3.1
